ポケモン名,フォルム名,経路,レベル,技名
フシギダネ,通常,わざマシン,,つるぎのまい
フシギダネ,通常,レベルアップ,3,つるのムチ
フシギダネ,通常,レベルアップ,1,たいあたり
フシギダネ,通常,わざマシン,,のしかかり
フシギダネ,通常,レベルアップ,21,とっしん
フシギダネ,通常,わざマシン,,とっしん
フシギダネ,通常,わざマシン,,すてみタックル
フシギダネ,通常,レベルアップ,1,なきごえ
フシギダネ,通常,レベルアップ,9,やどりぎのタネ
フシギダネ,通常,レベルアップ,6,せいちょう
フシギダネ,通常,レベルアップ,12,はっぱカッター
フシギダネ,通常,レベルアップ,36,ソーラービーム
フシギダネ,通常,わざマシン,,ソーラービーム
フシギダネ,通常,レベルアップ,15,どくのこな
フシギダネ,通常,レベルアップ,15,ねむりごな
フシギダネ,通常,タマゴ,,はなびらのまい
フシギダネ,通常,タマゴ,,どくどく
フシギダネ,通常,わざマシン,,どくどく
フシギダネ,通常,わざマシン,,ねむる
フシギダネ,通常,わざマシン,,みがわり
フシギダネ,通常,タマゴ,,のろい
フシギダネ,通常,わざマシン,,のろい
フシギダネ,通常,わざマシン,,まもる
フシギダネ,通常,わざマシン,,ヘドロばくだん
フシギダネ,通常,わざマシン,,ギガドレイン
フシギダネ,通常,わざマシン,,こらえる
フシギダネ,通常,わざマシン,,あまえる
フシギダネ,通常,わざマシン,,みねうち
フシギダネ,通常,わざマシン,,ねごと
フシギダネ,通常,レベルアップ,24,あまいかおり
フシギダネ,通常,レベルアップ,27,こうごうせい
フシギダネ,通常,わざマシン,,にほんばれ
フシギダネ,通常,わざマシン,,からげんき
フシギダネ,通常,わざマシン,,てだすけ
フシギダネ,通常,タマゴ,,ねをはる
フシギダネ,通常,わざマシン,,はたきおとす
フシギダネ,通常,わざマシン,,ウェザーボール
フシギダネ,通常,わざマシン,,タネマシンガン
フシギダネ,通常,わざマシン,,マジカルリーフ
フシギダネ,通常,レベルアップ,30,なやみのタネ
フシギダネ,通常,レベルアップ,18,タネばくだん
フシギダネ,通常,わざマシン,,タネばくだん
フシギダネ,通常,わざマシン,,エナジーボール
フシギダネ,通常,わざマシン,,リーフストーム
フシギダネ,通常,レベルアップ,33,パワーウィップ
フシギダネ,通常,わざマシン,,くさむすび
フシギダネ,通常,わざマシン,,ベノムショック
フシギダネ,通常,わざマシン,,アシッドボム
フシギダネ,通常,わざマシン,,くさのちかい
フシギダネ,通常,わざマシン,,グラスフィールド
フシギダネ,通常,わざマシン,,グラススライダー
フシギダネ,通常,わざマシン,,テラバースト
フシギダネ,通常,わざマシン,,くさわけ
フシギソウ,通常,わざマシン,,つるぎのまい
フシギソウ,通常,レベルアップ,1,つるのムチ
フシギソウ,通常,レベルアップ,1,たいあたり
フシギソウ,通常,わざマシン,,のしかかり
フシギソウ,通常,レベルアップ,25,とっしん
フシギソウ,通常,わざマシン,,とっしん
フシギソウ,通常,わざマシン,,すてみタックル
フシギソウ,通常,レベルアップ,1,なきごえ
フシギソウ,通常,わざマシン,,ほえる
フシギソウ,通常,レベルアップ,9,やどりぎのタネ
フシギソウ,通常,レベルアップ,1,せいちょう
フシギソウ,通常,レベルアップ,12,はっぱカッター
フシギソウ,通常,レベルアップ,50,ソーラービーム
フシギソウ,通常,わざマシン,,ソーラービーム
フシギソウ,通常,レベルアップ,15,どくのこな
フシギソウ,通常,レベルアップ,15,ねむりごな
フシギソウ,通常,タマゴ,,はなびらのまい
フシギソウ,通常,タマゴ,,どくどく
フシギソウ,通常,わざマシン,,どくどく
フシギソウ,通常,わざマシン,,ねむる
フシギソウ,通常,わざマシン,,みがわり
フシギソウ,通常,タマゴ,,のろい
フシギソウ,通常,わざマシン,,のろい
フシギソウ,通常,わざマシン,,まもる
フシギソウ,通常,わざマシン,,ヘドロばくだん
フシギソウ,通常,わざマシン,,ギガドレイン
フシギソウ,通常,わざマシン,,こらえる
フシギソウ,通常,わざマシン,,あまえる
フシギソウ,通常,わざマシン,,みねうち
フシギソウ,通常,わざマシン,,ねごと
フシギソウ,通常,レベルアップ,30,あまいかおり
フシギソウ,通常,レベルアップ,35,こうごうせい
フシギソウ,通常,わざマシン,,にほんばれ
フシギソウ,通常,わざマシン,,からげんき
フシギソウ,通常,わざマシン,,てだすけ
フシギソウ,通常,タマゴ,,ねをはる
フシギソウ,通常,わざマシン,,はたきおとす
フシギソウ,通常,わざマシン,,ウェザーボール
フシギソウ,通常,わざマシン,,タネマシンガン
フシギソウ,通常,わざマシン,,マジカルリーフ
フシギソウ,通常,レベルアップ,40,なやみのタネ
フシギソウ,通常,レベルアップ,20,タネばくだん
フシギソウ,通常,わざマシン,,タネばくだん
フシギソウ,通常,わざマシン,,エナジーボール
フシギソウ,通常,わざマシン,,リーフストーム
フシギソウ,通常,レベルアップ,45,パワーウィップ
フシギソウ,通常,わざマシン,,くさむすび
フシギソウ,通常,わざマシン,,ベノムショック
フシギソウ,通常,わざマシン,,アシッドボム
フシギソウ,通常,わざマシン,,くさのちかい
フシギソウ,通常,わざマシン,,グラスフィールド
フシギソウ,通常,わざマシン,,グラススライダー
フシギソウ,通常,わざマシン,,テラバースト
フシギソウ,通常,わざマシン,,くさわけ
フシギバナ,通常,わざマシン,,つるぎのまい
フシギバナ,通常,レベルアップ,1,つるのムチ
フシギバナ,通常,レベルアップ,1,たいあたり
フシギバナ,通常,わざマシン,,のしかかり
フシギバナ,通常,レベルアップ,25,とっしん
フシギバナ,通常,わざマシン,,とっしん
フシギバナ,通常,わざマシン,,すてみタックル
フシギバナ,通常,レベルアップ,1,なきごえ
フシギバナ,通常,わざマシン,,ほえる
フシギバナ,通常,わざマシン,,はかいこうせん
フシギバナ,通常,レベルアップ,9,やどりぎのタネ
フシギバナ,通常,レベルアップ,1,せいちょう
フシギバナ,通常,レベルアップ,12,はっぱカッター
フシギバナ,通常,レベルアップ,58,ソーラービーム
フシギバナ,通常,わざマシン,,ソーラービーム
フシギバナ,通常,レベルアップ,15,どくのこな
フシギバナ,通常,レベルアップ,15,ねむりごな
フシギバナ,通常,レベルアップ,1,はなびらのまい
